base_year,location,data_year,total_deficit_mwh,deficit_hours,total_gen_mwh,avg_storage_mwh
2019,Bodangora Wind Farm ,2024,2120.34,36,602537.19,458.88
2019,Sapphire Wind Farm,2019,119.81,4,592263.75,366.42
2019,Sapphire Wind Farm,2020,1169.39,23,563803.95,355.79
2019,Sapphire Wind Farm,2021,1925.95,32,564311.88,354.07
2019,Sapphire Wind Farm,2022,2034.54,34,570444.86,354.68
2019,Sapphire Wind Farm,2023,215.15,6,576516.1,364.84
2019,Sapphire Wind Farm,2024,349.98,12,550857.94,347.49
2019,Metz Solar Farm ,2019,167.07,4,631304.64,407.08
2019,Metz Solar Farm ,2020,883.26,18,599976.67,402.83
2019,Metz Solar Farm ,2021,1167.01,19,608493.06,403.49
2019,Metz Solar Farm ,2022,1339.43,23,603772.35,400.57
2019,Metz Solar Farm ,2023,521.84,10,619377.91,407.24
2019,Metz Solar Farm ,2024,889.02,17,588073.99,395.71
2019,Bullawah Wind Farm,2019,464.44,9,734237.05,460.51
2019,Bullawah Wind Farm,2020,815.23,17,708823.43,459.13
2019,Bullawah Wind Farm,2021,0.0,0,718773.12,458.49
2019,Bullawah Wind Farm,2022,194.5,3,680915.28,453.19
2019,Bullawah Wind Farm,2023,749.19,12,719672.03,460.51
2019,Bullawah Wind Farm,2024,743.63,21,724447.28,453.0
2019,Sunraysia Solar Farm,2019,639.05,14,734190.72,376.11
2019,Sunraysia Solar Farm,2020,528.91,10,713838.9,378.8
2019,Sunraysia Solar Farm,2021,492.43,11,721796.59,377.03
2019,Sunraysia Solar Farm,2022,628.62,19,688701.42,372.61
2019,Sunraysia Solar Farm,2023,790.66,14,721975.37,377.02
2019,Sunraysia Solar Farm,2024,1913.01,44,721329.85,372.92
2019,Hunter Coast Offshore Wind Project (proposed) ,2019,607.32,13,697251.86,376.61
2019,Hunter Coast Offshore Wind Project (proposed) ,2020,654.61,12,664831.4,375.1
2019,Hunter Coast Offshore Wind Project (proposed) ,2021,1293.22,23,666245.53,374.13
2019,Hunter Coast Offshore Wind Project (proposed) ,2022,1217.38,24,650665.74,365.85
2019,Hunter Coast Offshore Wind Project (proposed) ,2023,434.66,8,705894.19,383.12
2019,Hunter Coast Offshore Wind Project (proposed) ,2024,1687.92,33,660060.53,371.52
2019,Muswellbrook Solar Farm ,2019,756.03,15,793770.13,437.6
2019,Muswellbrook Solar Farm ,2020,418.91,11,745473.37,433.63
2019,Muswellbrook Solar Farm ,2021,326.94,4,755972.06,437.27
2019,Muswellbrook Solar Farm ,2022,2377.36,46,719896.58,422.62
2019,Muswellbrook Solar Farm ,2023,177.66,2,796617.01,443.1
2019,Muswellbrook Solar Farm ,2024,945.65,20,741981.32,427.94
2019,Wollongong Offshore Wind Project (proposed),2019,250.61,6,652797.2,476.41
2019,Wollongong Offshore Wind Project (proposed),2020,962.51,22,632799.4,466.95
2019,Wollongong Offshore Wind Project (proposed),2021,899.31,19,647680.95,471.95
2019,Wollongong Offshore Wind Project (proposed),2022,1432.17,31,645931.42,463.03
2019,Wollongong Offshore Wind Project (proposed),2023,1422.83,28,652818.97,475.01
2019,Wollongong Offshore Wind Project (proposed),2024,1771.19,30,636819.96,466.59
2019,Shoalhaven Solar Farm ,2019,642.54,13,605097.4,535.62
2019,Shoalhaven Solar Farm ,2020,922.1,18,579249.5,526.31
2019,Shoalhaven Solar Farm ,2021,1529.74,31,590383.99,528.45
2019,Shoalhaven Solar Farm ,2022,1723.0,41,581778.61,515.22
2019,Shoalhaven Solar Farm ,2023,486.99,11,602342.69,541.65
2019,Shoalhaven Solar Farm ,2024,2472.8,44,569675.79,520.69
2020,Gippsland offshore wind,2019,0.0,0,923493.68,419.44
2020,Gippsland offshore wind,2020,92.03,4,870110.48,411.16
2020,Gippsland offshore wind,2021,249.86,4,909172.95,415.03
2020,Gippsland offshore wind,2022,885.72,17,874605.82,412.23
2020,Gippsland offshore wind,2023,775.41,15,896640.7,417.48
2020,Gippsland offshore wind,2024,473.17,13,904694.59,413.28
2020,Hazelwood North Solar Farm,2019,0.0,0,890886.99,501.08
2020,Hazelwood North Solar Farm,2020,232.18,9,836840.04,493.69
2020,Hazelwood North Solar Farm,2021,248.06,4,855423.89,499.25
2020,Hazelwood North Solar Farm,2022,585.09,13,807768.41,491.79
2020,Hazelwood North Solar Farm,2023,460.68,10,846899.52,499.99
2020,Hazelwood North Solar Farm,2024,410.85,9,853102.34,495.64
2020,Glenrowan solar farm,2019,437.15,9,805784.99,521.17
2020,Glenrowan solar farm,2020,674.66,13,775739.11,513.12
2020,Glenrowan solar farm,2021,2808.64,62,766756.9,499.03
2020,Glenrowan solar farm,2022,2663.35,49,731450.53,498.76
2020,Glenrowan solar farm,2023,1947.02,34,757542.63,506.23
2020,Glenrowan solar farm,2024,476.31,14,803591.61,511.99
2020,Hawkesdale wind farm,2019,0.0,0,874305.24,501.35
2020,Hawkesdale wind farm,2020,489.63,10,843518.91,492.38
2020,Hawkesdale wind farm,2021,0.0,0,869438.8,502.65
2020,Hawkesdale wind farm,2022,117.12,3,832900.97,499.14
2020,Hawkesdale wind farm,2023,823.71,12,869627.18,500.24
2020,Hawkesdale wind farm,2024,214.19,5,859950.18,498.51
2020,Mortlake Energy Hub,2019,0.0,0,802522.1,631.52
2020,Mortlake Energy Hub,2020,254.3,7,768085.32,619.06
2020,Mortlake Energy Hub,2021,122.01,2,794640.66,628.66
2020,Mortlake Energy Hub,2022,0.0,0,762792.5,624.83
2020,Mortlake Energy Hub,2023,440.3,6,796804.78,629.67
2020,Mortlake Energy Hub,2024,58.5,1,804738.04,629.09
2020,Golden Plains Wind Farm,2019,235.37,6,825852.77,426.16
2020,Golden Plains Wind Farm,2020,156.97,4,796242.96,419.52
2020,Golden Plains Wind Farm,2021,0.0,0,812037.21,426.32
2020,Golden Plains Wind Farm,2022,150.81,2,774629.56,422.46
2020,Golden Plains Wind Farm,2023,32.82,1,817237.56,423.63
2020,Golden Plains Wind Farm,2024,618.65,16,817049.66,422.99
2020,Elaine Solar Farm,2019,336.79,9,776482.41,414.89
2020,Elaine Solar Farm,2020,114.19,2,751347.32,409.2
2020,Elaine Solar Farm,2021,0.0,0,764263.41,415.01
2020,Elaine Solar Farm,2022,305.51,7,725752.58,410.83
2020,Elaine Solar Farm,2023,136.48,2,767448.31,413.83
2020,Elaine Solar Farm,2024,775.57,19,768914.26,411.75
2020,Warracknabeal Energy Park (proposed),2019,643.44,17,725349.37,352.9
2020,Warracknabeal Energy Park (proposed),2020,685.0,15,699181.21,349.51
2020,Warracknabeal Energy Park (proposed),2021,493.14,16,712404.92,348.47
2020,Warracknabeal Energy Park (proposed),2022,722.46,12,687086.93,349.08
2020,Warracknabeal Energy Park (proposed),2023,908.04,14,706050.33,350.81
2020,Warracknabeal Energy Park (proposed),2024,1688.0,36,713228.49,349.53
2020,Murra Warra Solar Farm (proposed),2019,542.61,16,754592.18,350.96
2020,Murra Warra Solar Farm (proposed),2020,517.28,11,728763.27,347.62
2020,Murra Warra Solar Farm (proposed),2021,510.97,15,742151.98,346.89
2020,Murra Warra Solar Farm (proposed),2022,669.11,12,716564.48,347.92
2020,Murra Warra Solar Farm (proposed),2023,780.48,12,734954.69,349.21
2020,Murra Warra Solar Farm (proposed),2024,1436.83,28,743632.61,348.35
2020,Gannawarra Solar Farm,2019,1537.24,37,619223.43,365.25
2020,Gannawarra Solar Farm,2020,1398.15,27,602004.46,365.39
2020,Gannawarra Solar Farm,2021,1928.28,50,608432.78,358.43
2020,Gannawarra Solar Farm,2022,2711.33,63,577547.23,350.74
2020,Gannawarra Solar Farm,2023,1710.67,35,606073.28,361.49
2020,Gannawarra Solar Farm,2024,2954.43,62,613200.37,361.72
2020,Meering West Wind Farm,2019,1589.26,37,619762.15,382.28
2020,Meering West Wind Farm,2020,1414.52,27,602931.43,381.87
2020,Meering West Wind Farm,2021,1696.12,49,609104.54,374.6
2020,Meering West Wind Farm,2022,2605.46,57,579475.05,368.51
2020,Meering West Wind Farm,2023,1471.65,30,605677.19,378.73
2020,Meering West Wind Farm,2024,2755.85,56,613057.98,378.67
2020,Coopers Gap ,2019,449.28,14,662173.95,341.98
2020,Coopers Gap ,2020,65.44,7,641444.51,341.89
2020,Coopers Gap ,2021,1027.66,19,634842.37,339.88
2020,Coopers Gap ,2022,1650.89,27,636419.22,338.36
2020,Coopers Gap ,2023,169.04,6,639385.64,341.81
2020,Coopers Gap ,2024,398.21,13,617737.98,335.63
2020,Dulacca Wind Farm,2019,719.55,12,555527.52,423.42
2020,Dulacca Wind Farm,2020,461.13,8,536563.89,421.2
2020,Dulacca Wind Farm,2021,902.26,19,534226.15,418.26
2020,Dulacca Wind Farm,2022,2396.78,44,523078.92,410.17
2020,Dulacca Wind Farm,2023,567.34,11,540784.83,424.97
2020,Dulacca Wind Farm,2024,1553.1,35,513717.25,407.29
2020,Mount Emerald Wind Farm,2019,539.17,16,717401.74,257.02
2020,Mount Emerald Wind Farm,2020,179.58,8,705006.31,256.95
2020,Mount Emerald Wind Farm,2021,991.85,36,672106.89,250.96
2020,Mount Emerald Wind Farm,2022,131.0,13,672799.59,256.52
2020,Mount Emerald Wind Farm,2023,45.48,7,697387.02,257.34
2020,Mount Emerald Wind Farm,2024,147.19,12,685339.68,257.48
2020,Kaban,2019,818.13,31,672318.42,271.51
2020,Kaban,2020,201.09,10,663067.5,274.09
2020,Kaban,2021,745.43,26,637687.78,266.84
2020,Kaban,2022,470.97,22,640265.7,271.3
2020,Kaban,2023,95.19,9,652662.86,271.06
2020,Kaban,2024,207.29,8,645263.34,273.95
2020,Sample data,2019,66.33,2,920660.21,484.06
2020,Sample data,2020,506.82,12,847674.52,470.72
2020,Sample data,2021,1369.71,30,881434.49,468.26
2020,Sample data,2022,952.18,18,834281.81,471.25
2020,Sample data,2023,391.72,11,892058.04,480.49
2020,Sample data,2024,188.06,4,889931.96,478.25
2020,Kennedy Energy Park Stage 1,2019,50.21,3,748967.4,251.31
2020,Kennedy Energy Park Stage 1,2020,156.58,11,734089.47,248.96
2020,Kennedy Energy Park Stage 1,2021,68.22,8,705908.86,249.57
2020,Kennedy Energy Park Stage 1,2022,620.68,21,705836.58,247.64
2020,Kennedy Energy Park Stage 1,2023,98.87,7,725385.73,249.21
2020,Kennedy Energy Park Stage 1,2024,148.72,10,715155.78,248.81
2020,Western Downs Green Power Hub,2019,1201.78,23,574564.34,361.76
2020,Western Downs Green Power Hub,2020,244.34,5,558569.52,361.31
2020,Western Downs Green Power Hub,2021,996.52,19,555372.37,360.38
2020,Western Downs Green Power Hub,2022,2293.39,39,551020.96,360.57
2020,Western Downs Green Power Hub,2023,663.58,16,556663.73,364.88
2020,Western Downs Green Power Hub,2024,2348.39,44,530027.38,350.45
2020,Daydream Solar Farm,2019,85.53,5,608908.34,324.87
2020,Daydream Solar Farm,2020,146.26,6,601433.25,323.95
2020,Daydream Solar Farm,2021,473.29,12,576725.66,318.94
2020,Daydream Solar Farm,2022,829.63,17,578825.83,320.8
2020,Daydream Solar Farm,2023,131.67,5,598563.14,323.01
2020,Daydream Solar Farm,2024,382.94,10,590169.51,323.53
2020,Kidston Solar Project KS1,2019,170.06,5,608400.66,299.08
2020,Kidston Solar Project KS1,2020,74.42,5,598626.21,295.81
2020,Kidston Solar Project KS1,2021,881.91,23,580432.45,291.19
2020,Kidston Solar Project KS1,2022,776.89,18,579924.97,294.05
2020,Kidston Solar Project KS1,2023,470.5,14,590516.62,295.82
